ID,EmpNo,QueNo,Score,Upload,Ans,Notes
2,1,1,0,1,Test,
3,1,2,0,2,,
4,1,3,0,3,Yes,
5,1,4,0,4,,
6,1,5,0,5,,
7,1,6,0,6,,
8,1,7,0,7,,
9,1,8,0,8,,
10,1,9,0,9,,
11,1,10,0,10,,
12,1,11,0,11,,
13,1,12,0,12,,
14,1,13,0,13,,
15,1,15,0,14,,
16,1,17,0,15,,
17,1,19,0,16,,
18,1,21,0,17,,
19,1,23,4,18,,
20,1,25,4,19,,
21,1,27,5,20,,
22,1,29,4,21,,
23,1,31,0,22,,
24,1,33,0,23,,
25,1,35,0,24,,
26,1,37,0,25,,
27,1,39,0,26,,
28,1,41,2,27,,
29,1,43,0,28,12,
30,1,44,,29,yy,
31,1,45,3,30,,
32,1,46,,31,,
33,1,47,0,32,,
34,1,48,0,33,,
35,1,49,0,34,,
36,1,50,0,35,,
37,1,51,0,36,,
38,1,52,0,37,,
