TrainNo,QueID,Question
5,1,Please indicate the  main pillars to manage waste
1,2,Are you responsible for other employees safety?
1,3,When can you remove your PPE
1,4,"A friend needs to go to the rest room, he asked you to keep the machine running and continue with  production, he doesn t want to fall behind. What will you do?"
1,5,"The forklift driver is absent or on tea break, production is pilling up and you are being held back. You can drive but you not licensed or authorisaed, no one is around should you move it? After all you keeping up to speed with your training."
1,6,"You see a small fire, what will you do?"
5,7,What is the purpose of the Waste Management Document?
85,8,What is the main purpose of waste logistics?
86,9,What is a Waste Manifest used for?
86,10,Who must sign a waste manifest?
88,11,What is the purpose of environmental management in waste operations?
89,12,Why is PPE important in waste management operations?
89,13,What should you do if hazardous waste is spilled?
90,14,What is the purpose of ISO 9001?
90,15,What does  document control  mean in ISO 9001?
91,16,What document confirms that waste was collected from a client?
91,17,Why is record keeping important in waste management?
92,18,What law governs waste management in South Africa?
88,19,What is recycling?
89,20,What is a risk assessment?
