"TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","DATA_TYPE"
"""Internal Training"";""External Training""","TypeOfTraining","1","130"
"ComboTraining","EmployeeID","1","3"
"ComboTraining","Skills","2","3"
"Employees Employment details","EmployeeID","1","3"
"Employees Employment details","Title","2","130"
"Employees Employment details","Intials","3","130"
"Employees Employment details","Surname","4","130"
"Employees Employment details","MadienName","5","130"
"Employees Employment details","First Name","6","130"
"Employees Employment details","Last Name","7","130"
"Employees Employment details","AlsoKnownAS","8","130"
"Employees Employment details","SpouseName","9","130"
"Employees Employment details","DOB","10","7"
"Employees Employment details","ID Number","11","130"
"Employees Employment details","PassportNumber","12","130"
"Employees Employment details","PassportCountry","13","130"
"Employees Employment details","Language","14","130"
"Employees Employment details","E-mail Address","15","130"
"Employees Employment details","HomeNumber","16","5"
"Employees Employment details","WorkNumber","17","5"
"Employees Employment details","CellNumber","18","5"
"Employees Employment details","Ethnicity","19","130"
"Employees Employment details","Gender","20","130"
"Employees Employment details","MaritalStatus","21","130"
"Employees Employment details","IncomeTaxNumber","22","130"
"Employees Employment details","Directive","23","130"
"Employees Employment details","EmergencyNameAndSurname","24","130"
"Employees Employment details","EmergencyCellNumber","25","5"
"Employees Employment details","EmergencyWorkNumber","26","5"
"Employees Employment details","ResUnitNumber","27","130"
"Employees Employment details","ResStreetNumber","28","130"
"Employees Employment details","ResSuburb","29","130"
"Employees Employment details","ResComplex","30","130"
"Employees Employment details","ResStreetName","31","130"
"Employees Employment details","ResCity","32","130"
"Employees Employment details","ResPostalCode","33","130"
"Employees Employment details","PostUnitNumber","34","130"
"Employees Employment details","PostStreetNumber","35","130"
"Employees Employment details","PostSuburb","36","130"
"Employees Employment details","PostComplex","37","130"
"Employees Employment details","PostStreetName","38","130"
"Employees Employment details","PostCity","39","130"
"Employees Employment details","PostPostalCode","40","130"
"Employees Employment details","PaymentMethod","41","130"
"Employees Employment details","BankName","42","130"
"Employees Employment details","BranchCode","43","130"
"Employees Employment details","AccountHolderName","44","130"
"Employees Employment details","AccountNumber","45","130"
"Employees Employment details","TypeOfAccount","46","130"
"Employees Employment details","AccountRelationship","47","130"
"Employees Employment details","EmployeeCode","48","130"
"Employees Employment details","DateEmployed","49","7"
"Employees Employment details","SkillLevel","50","130"
"Employees Employment details","CriticalSkills","51","130"
