CEOapproval,ID,Occuational Level,Factor,Assessment,Justification from JD,Additional Portfolios / Expanded Scope,Grade Impact Review,Recommended JD Grading,JobTitle,Notes
False,1,,,,,,,,,
False,2,Senior management,Planning Horizon,F Band (Strategic Direction),"Sets company strategy, long-term direction, major financial and operational decisions.",,,Grade: F Lower – F Upper,Chief Executive Officer,
False,3,Top management,Problem Solving,Strategic / Conceptual Complexity,"Resolves business growth, risk, financial sustainability and expansion decisions.",,,Grade: F Lower – F Upper,Chief Executive Officer,
False,4,Top management,Financial Impact,Very High,"Responsible for company profitability, capital expenditure, financial sustainability.",,,Grade: F Lower – F Upper,Chief Executive Officer,
False,5,Top management,People Management,Executive Management,Manages senior managers and company structure.,,,Grade: F Lower – F Upper,Chief Operating Officer,
False,6,Top management,Compliance & Risk,Corporate Legal Accountability,"Responsible for corporate governance, legal compliance, environmental liability.",,,Grade: F Lower – F Upper,Chief Executive Officer,
False,7,Top management,Planning Horizon,Long Term (3–5 years),"Strategic planning, expansion, capital investment.",,,Grade: F Lower – F Upper,Chief Operating Officer,
False,8,Regional manager,Decision Making,E Band (Strategic Operational),Makes regional strategic decisions affecting multiple sites and business performance.,,,Grade: E Upper,,
False,9,Regional manager,Problem Solving,High Strategic & Operational Complexity,"Resolves regional performance, staffing, operational and client contract issues.",,,Grade: E Upper,,
False,10,Regional manager,Financial Impact,High,"Responsible for regional budgets, profitability and cost control.",,,Grade: E Upper,,
False,11,Regional manager,People Management,Multi-Site Management,"Manages site managers, supervisors and regional staff.",,,Grade: E Upper,,
False,12,Regional manager,Compliance & Risk,High Legal Accountability,Responsible for compliance across multiple sites and contracts.,,,Grade: E Upper,,
False,13,Regional manager,Planning Horizon,Long Term (1–3 years),"Regional growth, contracts, infrastructure and operational planning.",,,Grade: E Upper,,
False,14,Finance manager,Decision Making,E Band (Strategic Financial Control),"Drives financial strategy, budgeting, reporting and governance.",Responsible for taxation strategy and IT support / systems.,Expands into Finance + IT governance executive role., Grade: E Upper,,
False,15,Finance manager,Problem Solving,Very High Financial Complexity,"Handles audits, financial risk, forecasting and controls.",Includes IT system challenges and tax compliance complexity.,Increased technical and regulatory complexity., Grade: E Upper,,
False,16,Finance manager,Financial Impact,Very High,Responsible for company financial health.,Tax optimisation and IT systems directly affect cost control and efficiency.,Strengthens strategic financial role., Grade: E Upper,,
False,17,Finance manager,People Management,Finance Team,Manages finance department.,May include IT support staff / systems oversight.,Wider functional control., Grade: E Upper,,
False,18,Finance manager,Compliance & Risk,Corporate Governance,Responsible for financial compliance and audits.,Includes tax compliance and IT governance risk.,Higher compliance exposure., Grade: E Upper,,
False,19,Finance manager,Planning Horizon,Long Term (1–3 years),"Budgeting, forecasting, capital planning.",Includes systems planning and tax strategy.,Broader strategic scope., Grade: E Upper,,
False,20,Technical Manager,Decision Making,E Band (Strategic Technical & Operational),"Sets waste treatment strategy, R&D, technical solutions and project direction.","Full operational control of composting site, blending plant, and major contracted projects.",Expands from technical specialist to hybrid technical + operational executive role., Grade: E Upper,,
False,21,Technical Manager,Problem Solving,Very High Technical & Operational Complexity,"Develops disposal methods, manages complex waste streams and plant performance.",Resolves full plant operational issues and project execution challenges.,Increases complexity beyond pure technical role., Grade: E Upper,,
False,22,Technical Manager,Financial Impact,High,"Influences costing, treatment methods and project profitability.","Responsible for plant output, operational costs and contract delivery.",Moves impact toward business unit accountability., Grade: E Upper,,
False,23,Technical Manager,People Management,Technical + Operational Teams,Manages lab staff and technical teams.,"Also manages plant staff, operators and project teams.",Broader span of control., Grade: E Upper,,
False,24,Technical Manager,Compliance & Risk,Critical Technical & Environmental,Responsible for treatment compliance and waste regulations.,Now accountable for operational compliance across multiple plants.,Increased legal exposure., Grade: E Upper,,
False,25,Technical Manager,Planning Horizon,Long Term (1–3 years),"R&D, technology and treatment strategy.",Includes operational planning and project execution timelines.,Broader planning scope., Grade: E Upper,,
False,26,Compliance Manager,Decision Making,"E Band (Strategic Governance, Risk & Compliance)","Sets compliance, legal, risk and governance strategy.","Infrastructure development, business improvement systems, HR policy and systems.",Expands into enterprise-wide governance + transformation role., Grade: E Upper / F Lower,,
False,27,Compliance Manager,Problem Solving,Very High Legal & Organisational Complexity,"Manages permits, legal compliance and regulatory risk.","Resolves infrastructure planning, productivity systems and HR policy challenges.",Moves toward enterprise transformation leadership., Grade: E Upper / F Lower,,
False,28,Compliance Manager,Financial Impact,Very High Risk Impact,Non-compliance affects business survival.,Infrastructure and productivity improvements directly affect profitability.,Strengthens strategic impact., Grade: E Upper / F Lower,,
False,29,Compliance Manager,People Management,Compliance & SHEQ Functions,Manages compliance teams.,"Influences HR systems, policies and organisational performance.",Cross-functional authority., Grade: E Upper / F Lower,,
False,30,Compliance Manager,,Critical Legal Accountability,"Responsible for permits, licences and legal compliance.","Now includes governance systems, HR compliance and organisational risk.",Extremely high accountability., Grade: E Upper / F Lower,,
False,31,Compliance Manager,Planning Horizon,Long Term (1–3 years),Compliance strategy and regulatory planning.,Includes infrastructure planning and business improvement strategy.,Expanded strategic horizon., Grade: E Upper / F Lower,,
False,32,"Senior Management (Regional Manager, Operations Manager, Financial Manager, Logistics Manager)",Decision Making,E Band (Tactical Strategic),Translates strategy into operational plans and budgets.,,, Grade: E Lower – E Middle,,
False,33,"Senior Management (Regional Manager, Operations Manager, Financial Manager, Logistics Manager)",Problem Solving,High Managerial Complexity,"Resolves operational, financial, logistics and staffing problems across regions.",,, Grade: E Lower – E Middle,,
False,34,"Senior Management (Regional Manager, Operations Manager, Financial Manager, Logistics Manager)",Financial Impact,High,Controls departmental budgets and cost centres.,,, Grade: E Lower – E Middle,,
False,35,"Senior Management (Regional Manager, Operations Manager, Financial Manager, Logistics Manager)",People Management,Managers & Supervisors,Manages multiple departments and sites.,,, Grade: E Lower – E Middle,,
False,36,"Senior Management (Regional Manager, Operations Manager, Financial Manager, Logistics Manager)",Compliance & Risk,High Operational Legal Responsibility,"Responsible for operational compliance, contracts, safety and environmental compliance.",,, Grade: E Lower – E Middle,,
False,37,"Senior Management (Regional Manager, Operations Manager, Financial Manager, Logistics Manager)",Planning Horizon,1–3 Years,"Budgeting, operational planning, resource planning.",,, Grade: E Lower – E Middle,,
False,38,"Managers (Site Manager, Depot Manager, MRF Manager, Compliance Manager, Hazardous Waste Manager)",Decision Making,D Band (Operational Tactical),Makes operational and compliance decisions affecting site or department performance.,,, Grade: D Lower – D Upper,,
False,39,"Managers (Site Manager, Depot Manager, MRF Manager, Compliance Manager, Hazardous Waste Manager)",Problem Solving,High Operational Complexity,"Manages production, waste processing, permits, staffing and client issues.",,, Grade: D Lower – D Upper,,
