Assessment Tier,Sub-Tier / Role Type,Focus Area,Position,Reason Selected,Tier,Focus
Tier 1 – Critical & Legally Accountable Roles,Legal accountability (Tier 1),Regulatory risk mitigation (Tier 1),SHEQ Manager,Legal accountability; SHEQ-critical role,Tier 1,Regulatory risk mitigation
Tier 2 – Management & Supervisory Pipeline,Safety or environmental compliance (Tier 1),Regulatory risk mitigation (Tier 1),Operations Manager,Operational continuity; Financial impact,Tier 1,Operational risk mitigation
Tier 3 – Strategic & Executive Succession,Financial authority (Tier 1),Operational risk mitigation  (Tier 1),Branch Manager,Leadership; Revenue,Tier 2,Organisational growth
,Operational continuity risk (Tier 1),Operational risk mitigation  (Tier 1),CEO Successor,Strategic leadership,Tier 3,Strategic direction
,Scarce skills in the labour market (Tier 1),Operational risk mitigation  (Tier 1),,,,
,Supervisors (Tier 2),Leadership continuity (Tier 2),,,,
,Branch / Site Managers (Tier 2),Organisational growth (Tier 2),,,,
,Department Heads (Tier 2),Transformation alignment (Tier 2),,,,
,Emerging Leaders (Tier 2),Internal promotion strategy (Tier 2),,,,
,Senior Management (Tier 3),Governance continuity (Tier 3),,,,
,Executive Leadership (Tier 3),Strategic direction (Tier 3),,,,
,Specialist high-impact roles (Tier 3),Long-term sustainability (Tier 3),,,,
,Senior Management (Tier 3),Institutional knowledge retention (Tier 3),,,,
,Executive Leadership (Tier 3),Institutional knowledge retention (Tier 3),,,,
,Specialist high-impact roles (Tier 3),Institutional knowledge retention (Tier 3),,,,
