Category,Question,A,B,C,D,Answer,Score
Waste Management,What is the purpose of the Waste Management Document?,"To control, track and trace waste within legal compliance requirements from generator to disposal and keep records",Delivery note to confirm goods were sold,Employee attendance register,Financial audit report,A,10.0
Waste Management,What are the main pillars of waste management?,"Reduce, Reuse, Recycle, Recovery, Treatment, Disposal","Collection, Selling, Trading, Billing","Storage, Accounting, Payroll","Procurement, Marketing, Advertising",A,10.0
Waste Logistics,What is the main purpose of waste logistics?,Safe and compliant movement of waste from generator to treatment/disposal facility,Transporting employees to work,Managing office supplies,Financial record keeping,A,10.0
Waste Manifest,What is a Waste Manifest used for?,To track hazardous waste from generator to final disposal facility,To record employee attendance,To record fuel consumption,To record product sales,A,10.0
Waste Manifest,Who must sign a waste manifest?,"Waste generator, transporter, and disposal facility",Only the truck driver,Only the waste generator,Only the government inspector,A,10.0
Environmental,What is the purpose of environmental management in waste operations?,To prevent pollution and protect the environment,To increase sales revenue,To manage employee leave,To increase production,A,10.0
Safety,Why is PPE important in waste management operations?,To protect workers from hazards and injuries,To improve company branding,To reduce paperwork,To increase customer satisfaction,A,10.0
Safety,What should you do if hazardous waste is spilled?,Report immediately and follow spill response procedures,Ignore the spill,Wash it down a drain,Cover it with soil,A,10.0
ISO 9001,What is the purpose of ISO 9001?,To ensure quality management and continuous improvement,To regulate taxes,To manage employee salaries,To track fuel usage,A,10.0
ISO 9001,What does “document control” mean in ISO 9001?,Managing and updating official company documents and procedures,Controlling employee behaviour,Controlling stock deliveries,Managing waste bins,A,10.0
Administration,Why is record keeping important in waste management?,To provide legal proof and compliance records,To decorate office files,To reduce transport costs,To increase advertising,A,10.0
Administration,What document confirms that waste was collected from a client?,Waste collection note or manifest,Invoice only,Payroll record,Bank statement,A,10.0
Waste Compliance,What law governs waste management in South Africa?,National Environmental Management: Waste Act,Labour Relations Act,Companies Act,Income Tax Act,A,10.0
Environmental,What is recycling?,Converting waste materials into new usable products,Burning waste,Dumping waste in landfills,Storing waste permanently,A,10.0
Safety,What is a risk assessment?,Identifying hazards and controlling risks in the workplace,Inspecting employee uniforms,Measuring truck speed,Checking office supplies,A,10.0
